debtor_name,Primary Phone,sunbiz_email,Agent Name,Agent Address,Filing Date,Principal Address,Officer Names,enhanced_distress_level,city,sunbiz_doc_num
HUBBLE BUBBLE CORP,305-542-4382,HGUERRERO@ARCFLA,,",  ",,",  ","THOMAS        W HUBBLE, THOMAS        W HUBBLE, ROLANDO       J DELGADO, EDUARDO       J GARCIA",DEFUNCT,HALLANDALE BEACH,P05000088319
SABOR VENEZOLANO INC,305-716-0785,INTLGROUP@GMAIL.COM,,",  ",,",  ","ROMY RECIO, ROMY RECIO, MARIA         C NAVARRO, MARIA         E SERRUDO, MARIA         E SERRUDO",DEFUNCT,HIALEAH,P05000122901
FIRE ON THE BAYOU NSB LLC,386-956-1879,fireonthebayounsb@gmail.com,,",  ",,",  ",JASON ACKERMAN,CRITICAL,NEW SMYRNA BEACH,L24000153414
LAKE WALES BOWL LLC,315-778-8744,strikeslakewales@outlook.com,,",  ",,",  ","Floyd         Jr. Henderson, HENDERSON     JR FLOYD",HIGH,LAKE WALES,L22000280714
BUTTERFIELDS SOUTHERN CAFE LLC,561-252-9089,mike@butterfieldcafe.com,,",  ",,",  ","Amber         A Foley, MICHAEL       C FOLEY, MICHAEL       C FOLEY, VICTOR        J ASENCIO",HIGH,ROYAL PALM BEACH,L06000082638
GEORGE ALLEN ENTERPRISES,321-704-3334,Keviny1985@yahoo.com,,",  ",,",  ","KEVIN YOUNG, KEVIN         kevin YOUNG, JOSHUA KASTON, JOSHUA KASTON",HIGH,ORLANDO,L16000050334
JOYS ROTI DELIGHT,239-850-9451,,,",  ",,",  ",,HIGH,LAUDERHILL,
STARSON LLC,727-754-0062,Starson900@gmail.com,,",  ",,",  ","MICHAEL       E YODER, MICHAEL       E YODER, JERRY         ESQ GOTTLIEB, Michael       P Janecek",HIGH,HARBOR BLUFFS,L18000061551
MILLER'S JAMAICAN CUISINE LLC,407-776-9271,SUZETTEMILLER345@GMAIL.COM,,",  ",,",  ","ROBERT MILLER, SUZETTE MILLER, SUZETTE MILLER, IYKE          O OKAFOR, RACHEL        A SAVELA",HIGH,ORLANDO,L18000063321
URBAN SOUL DAIQUIRIS & WINGZ LLC,404-438-7795,STEVEABROCK@GMAIL.COM,,",  ",,",  ","STEVE         A BROCK, STEVE         A BROCK",HIGH,DAYTONA BEACH,L24000201987
"BELL & BROWN ENTERPRISES, LLC",254-630-9336,theglasshouselounge@gmail.com,,",  ",,",  ","ABIGAIL BELL, JOSHUA BROWN, JOSHUA BROWN",HIGH,PINE CASTLE,L23000400386
KAVA VILLA CORP,786-355-7577,EFILE1234@INCFILE.COM,,",  ",,",  ","SHAHIN HYDER, HYDER SHAHIN, GINA MILLIGAN, ADAM MILLIGAN, ADAM MILLIGAN",HIGH,MIAMI,P23000032177
KALALOU CARAIBBEAN BAR AND GRILL LLC,321-961-2299,vertyelysee@gmail.com,,",  ",,",  ","Tamar         C Verty, Jessica       F VERTY, ELIZE VERTY, Elize         F Verty",HIGH,ORLANDO,L17000193010
