debtor_name,Primary Phone,All Phones,sunbiz_email,city,state,address,zip,num_mcas,enhanced_distress_level
HUBBLE BUBBLE CORP,305-542-4382,305-542-4382,HGUERRERO@ARCFLA,HALLANDALE BEACH,FL,1000 EAST HALLANDALE BEACH BOULEVARD,33009,3,DEFUNCT
SABOR VENEZOLANO INC,305-716-0785,305-716-0785,INTLGROUP@GMAIL.COM,HIALEAH,FL,3300 W 84 ST,33018,3,DEFUNCT
FIRE ON THE BAYOU NSB LLC,386-956-1879,386-956-1879,fireonthebayounsb@gmail.com,NEW SMYRNA BEACH,FL,1500 S DIXIE FWY,32168-7607,5,CRITICAL
LAKE WALES BOWL LLC,315-778-8744,315-778-8744,strikeslakewales@outlook.com,LAKE WALES,FL,950 EAGLE RIDGE DRIVE,33898,4,HIGH
BUTTERFIELDS SOUTHERN CAFE LLC,561-252-9089,561-252-9089,mike@butterfieldcafe.com,ROYAL PALM BEACH,FL,1145 ROYAL PALM BEACH BLVD,33411,4,HIGH
GEORGE ALLEN ENTERPRISES,321-704-3334,321-704-3334,Keviny1985@yahoo.com,ORLANDO,FL,23 E CENTRAL BLVD,32801,4,HIGH
JOYS ROTI DELIGHT,239-850-9451,239-850-9451,,LAUDERHILL,FL,1205 NW 40TH AVE,33313,4,HIGH
STARSON LLC,727-754-0062,727-754-0062,Starson900@gmail.com,HARBOR BLUFFS,FL,111 CRESTWOOD LANE,33770,4,HIGH
MILLER'S JAMAICAN CUISINE LLC,407-776-9271,407-776-9271,SUZETTEMILLER345@GMAIL.COM,ORLANDO,FL,6854 FOREST CITY RD,32810,3,HIGH
URBAN SOUL DAIQUIRIS & WINGZ LLC,404-438-7795,404-438-7795,STEVEABROCK@GMAIL.COM,DAYTONA BEACH,FL,601 MAIN ST,32118,3,HIGH
"BELL & BROWN ENTERPRISES, LLC",254-630-9336,254-630-9336,theglasshouselounge@gmail.com,PINE CASTLE,FL,5636 HANSEL AVE,32809,3,HIGH
KAVA VILLA CORP,786-355-7577,786-355-7577,EFILE1234@INCFILE.COM,MIAMI,FL,125 NW 23RD ST,33127,3,HIGH
KALALOU CARAIBBEAN BAR AND GRILL LLC,321-961-2299,321-961-2299,vertyelysee@gmail.com,ORLANDO,FL,5160 S JOHN YOUNG PARKWAY,32839,3,HIGH
THE GREEN IGUANA BAR & GRILL INC,813-837-1234,813-837-1234,badams@greeniguana.com,TAMPA,FL,4029 S WESTSHORE BLVD,33611,3,HIGH
THE CAFE LLC,704-328-6109,704-328-6109; 813-879-5151; 305-296-5515,adwchelsea@icloud.com,NAPLES,FL,1209 3RD STREET SOUTH,34102,3,HIGH
ROKO INVESTMENTS LLC,954-541-5284,954-541-5284,Olenkasweets@gmail.com,WESTON,FL,2246 WESTON RD,33326,3,HIGH
CANTINA VIAJERO LLC,214-995-5010,214-995-5010,karin@baalegal.com,TRINITY,FL,1338 EPIPHANY WAY SUITE 103,34655,3,HIGH
BOCA GRILL INC,561-419-8434,561-419-8434,RL@goldstandardofcare.com,BOCA RATON,FL,8903 GLADES RD STE G9,33434,3,HIGH
CANOPY ROAD CAFE LLC,407-967-1149,407-967-1149; 850-273-1111; 813-245-2055,draneymd@aol.com,TALLAHASSEE,FL,2202 CAPITAL CIRCLE NE,32308,3,HIGH
THE ROYAL FAMILY INVESTMENTS LLC,407-777-0817,407-777-0817; 407-435-0083,homespecialist18@icloud.com,ORLANDO,FL,12473 S ORANGE BLOSSOM TRL,32837,2,HIGH
KUACHOS 305 INC,786-569-4469,786-569-4469,MTMCUISINE@GMAIL.COM,MIAMI,FL,13800 SW 137TH AVE,33186,2,HIGH
FARM TO TACO LLC,727-203-8129,727-203-8129; 727-688-3850,farmtotaco@gmail.com,TRINITY,FL,10700 FL-54,34655,2,HIGH
GIGGLEWATERS MOBILE KITCHENS LLC,212-203-2449,212-203-2449,hilaryhhawks@gmail.com,CLEARWATER,FL,1249 WOODLAWN TERRACE,33755,2,HIGH
NAKAMA ANIME CAFE LLC,865-640-3066,865-640-3066,shawnlim212@gmail.com,ORANGE PARK,FL,"1540 WELLS ROAD , SUITE 11",32073,2,HIGH
DE BOER GROUP INC,904-749-0775,904-749-0775,VICTORESTATESLLC@GMAIL.COM,YULEE,FL,76030 WILLIAM BURGESS BOULEVARD,32097,2,HIGH
